chunk_start,chunk_end,query_start_utc,query_end_utc,node,market,query_name,version,filename,source_url,status,attempts,size_bytes,sha256,raw_rows,lmp_rows,desired_days_present,csv_members,downloaded_at_utc_iso,error
2023-05-01,2023-05-07,20230501T00:00-0000,20230509T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230501_20230507.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230501T00:00-0000&enddatetime=20230509T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,reused_valid_file,1,9324,a12d10ca9b3ce9fdf322109c52a337cd8a68bc1352ea4bd9d11685aebdc22b45,925,185,7,1,2026-08-11T16:28:31.579Z,
2023-05-08,2023-05-14,20230508T00:00-0000,20230516T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230508_20230514.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230508T00:00-0000&enddatetime=20230516T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9740,d57215d0f65d90e1bb88068947d3decfa1d07ffce6c74bfe5c95b3671e50b7d4,960,192,7,1,2026-08-11T16:28:39.261Z,
2023-05-15,2023-05-21,20230515T00:00-0000,20230523T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230515_20230521.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230515T00:00-0000&enddatetime=20230523T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9611,7ea1c3f39b1ead27b07622d97bd700ae2211156647cd4f781bae141cb902e535,960,192,7,1,2026-08-11T16:28:46.882Z,
2023-05-22,2023-05-28,20230522T00:00-0000,20230530T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230522_20230528.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230522T00:00-0000&enddatetime=20230530T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9375,7dfc79cbd23d4677520993d5465abc2fa6d01f0184b0fd98495bdd64e7b9905f,960,192,7,1,2026-08-11T16:28:55.853Z,
2023-05-29,2023-06-04,20230529T00:00-0000,20230606T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230529_20230604.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230529T00:00-0000&enddatetime=20230606T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9219,b5c57ebbc888b91e362a6af7e40c3036089d72cfd5d79246943614905b7a834f,960,192,7,1,2026-08-11T16:29:02.537Z,
2023-06-05,2023-06-11,20230605T00:00-0000,20230613T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230605_20230611.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230605T00:00-0000&enddatetime=20230613T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9529,fe7f910996e1e4d4d16ce919ae48b5a661ccd064583410ba41a4448d51e24bef,960,192,7,1,2026-08-11T16:29:13.739Z,
2023-06-12,2023-06-18,20230612T00:00-0000,20230620T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230612_20230618.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230612T00:00-0000&enddatetime=20230620T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9276,f8eb79eec86edd5eedd006711ed77a13a59c2f464d4748e0561fe36a3ea56996,960,192,7,1,2026-08-11T16:29:20.749Z,
2023-06-19,2023-06-25,20230619T00:00-0000,20230627T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230619_20230625.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230619T00:00-0000&enddatetime=20230627T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9867,98e903c16a3ce63774bd81701061db9c20829c915d3bdd656c3dfb6992c24131,960,192,7,1,2026-08-11T16:29:28.621Z,
2023-06-26,2023-07-02,20230626T00:00-0000,20230704T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230626_20230702.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230626T00:00-0000&enddatetime=20230704T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9667,b2a371247761bfe6732c9d8ab01f7b17801a5de69ae80b535b3ace546d3f2725,960,192,7,1,2026-08-11T16:29:35.686Z,
2023-07-03,2023-07-09,20230703T00:00-0000,20230711T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20230703_20230709.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20230703T00:00-0000&enddatetime=20230711T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9497,5ee8ba7e7ae2802b4f0d12cafc8d7254407ef354f91d050b96aa87b6f288a3aa,960,192,7,1,2026-08-11T16:29:42.837Z,
