,coefficient,standard_error,t_statistic,p_value,ci_95_low,ci_95_high
Intercept,-36.8906,49.4341,-0.7463,0.4555,-133.7797,59.9984
"C(weekday, Treatment(""Monday""))[T.Friday]",-3.9632,2.8764,-1.3778,0.1683,-9.6009,1.6745
"C(weekday, Treatment(""Monday""))[T.Saturday]",-3.7888,2.6071,-1.4532,0.1462,-8.8986,1.3211
"C(weekday, Treatment(""Monday""))[T.Sunday]",-2.9553,3.1886,-0.9268,0.354,-9.2048,3.2942
"C(weekday, Treatment(""Monday""))[T.Thursday]",-0.3003,3.967,-0.0757,0.9397,-8.0756,7.4749
"C(weekday, Treatment(""Monday""))[T.Tuesday]",-1.1446,2.3663,-0.4837,0.6286,-5.7826,3.4933
"C(weekday, Treatment(""Monday""))[T.Wednesday]",1.7316,4.86,0.3563,0.7216,-7.7938,11.257
"C(month, Treatment(""January""))[T.April]",35.1827,10.1365,3.4709,0.0005,15.3154,55.0499
"C(month, Treatment(""January""))[T.August]",9.4792,16.7128,0.5672,0.5706,-23.2773,42.2357
"C(month, Treatment(""January""))[T.December]",-0.5147,5.4427,-0.0946,0.9247,-11.1821,10.1527
"C(month, Treatment(""January""))[T.February]",17.5461,5.7775,3.037,0.0024,6.2225,28.8698
"C(month, Treatment(""January""))[T.July]",5.8556,8.9022,0.6578,0.5107,-11.5925,23.3036
"C(month, Treatment(""January""))[T.June]",3.9424,8.277,0.4763,0.6339,-12.2802,20.1651
"C(month, Treatment(""January""))[T.March]",36.6378,8.6222,4.2493,0.0,19.7387,53.537
"C(month, Treatment(""January""))[T.May]",20.3954,9.316,2.1893,0.0286,2.1363,38.6544
"C(month, Treatment(""January""))[T.November]",1.5888,5.3721,0.2958,0.7674,-8.9402,12.1179
"C(month, Treatment(""January""))[T.October]",8.3576,5.659,1.4769,0.1397,-2.7338,19.449
"C(month, Treatment(""January""))[T.September]",5.1699,6.9168,0.7474,0.4548,-8.3868,18.7267
battery_gw,0.6447,8.0124,0.0805,0.9359,-15.0593,16.3487
demand_gap_gw,4.4493,1.2438,3.5773,0.0003,2.0116,6.8871
solar_drop_gw,1.5705,0.6214,2.5273,0.0115,0.3526,2.7883
gas_usd_mmbtu,9.5337,2.6393,3.6123,0.0003,4.3609,14.7066
trend_years,-11.5389,33.0681,-0.3489,0.7271,-76.3512,53.2733
