,coefficient,conventional_se,hac_7lag_se,conventional_p_value,hac_7lag_p_value
Intercept,-36.8906,37.8818,49.4341,0.3304,0.4555
"C(weekday, Treatment(""Monday""))[T.Friday]",-3.9632,4.2648,2.8764,0.353,0.1683
"C(weekday, Treatment(""Monday""))[T.Saturday]",-3.7888,4.2702,2.6071,0.3752,0.1462
"C(weekday, Treatment(""Monday""))[T.Sunday]",-2.9553,4.3663,3.1886,0.4987,0.354
"C(weekday, Treatment(""Monday""))[T.Thursday]",-0.3003,4.2582,3.967,0.9438,0.9397
"C(weekday, Treatment(""Monday""))[T.Tuesday]",-1.1446,4.2486,2.3663,0.7877,0.6286
"C(weekday, Treatment(""Monday""))[T.Wednesday]",1.7316,4.2477,4.86,0.6836,0.7216
"C(month, Treatment(""January""))[T.April]",35.1827,7.9609,10.1365,0.0,0.0005
"C(month, Treatment(""January""))[T.August]",9.4792,6.9379,16.7128,0.1722,0.5706
"C(month, Treatment(""January""))[T.December]",-0.5147,6.0097,5.4427,0.9318,0.9247
"C(month, Treatment(""January""))[T.February]",17.5461,6.8132,5.7775,0.0102,0.0024
"C(month, Treatment(""January""))[T.July]",5.8556,7.156,8.9022,0.4134,0.5107
"C(month, Treatment(""January""))[T.June]",3.9424,7.1095,8.277,0.5793,0.6339
"C(month, Treatment(""January""))[T.March]",36.6378,7.4723,8.6222,0.0,0.0
"C(month, Treatment(""January""))[T.May]",20.3954,7.159,9.316,0.0045,0.0286
"C(month, Treatment(""January""))[T.November]",1.5888,5.9829,5.3721,0.7906,0.7674
"C(month, Treatment(""January""))[T.October]",8.3576,5.9573,5.659,0.161,0.1397
"C(month, Treatment(""January""))[T.September]",5.1699,6.3956,6.9168,0.4191,0.4548
battery_gw,0.6447,7.2648,8.0124,0.9293,0.9359
demand_gap_gw,4.4493,0.7653,1.2438,0.0,0.0003
solar_drop_gw,1.5705,0.6925,0.6214,0.0236,0.0115
gas_usd_mmbtu,9.5337,0.8508,2.6393,0.0,0.0003
trend_years,-11.5389,28.95,33.0681,0.6903,0.7271
