,regressor,vif
0,Intercept,1113.086
1,"C(weekday, Treatment(""Monday""))[T.Friday]",1.7246
2,"C(weekday, Treatment(""Monday""))[T.Saturday]",1.7186
3,"C(weekday, Treatment(""Monday""))[T.Sunday]",1.8076
4,"C(weekday, Treatment(""Monday""))[T.Thursday]",1.7192
5,"C(weekday, Treatment(""Monday""))[T.Tuesday]",1.7218
6,"C(weekday, Treatment(""Monday""))[T.Wednesday]",1.721
7,"C(month, Treatment(""January""))[T.April]",2.8389
8,"C(month, Treatment(""January""))[T.August]",3.2216
9,"C(month, Treatment(""January""))[T.December]",2.4172
10,"C(month, Treatment(""January""))[T.February]",1.9819
11,"C(month, Treatment(""January""))[T.July]",3.4273
12,"C(month, Treatment(""January""))[T.June]",3.2849
13,"C(month, Treatment(""January""))[T.March]",2.5789
14,"C(month, Treatment(""January""))[T.May]",3.4301
15,"C(month, Treatment(""January""))[T.November]",2.3031
16,"C(month, Treatment(""January""))[T.October]",2.3752
17,"C(month, Treatment(""January""))[T.September]",2.6583
18,battery_gw,391.2789
19,demand_gap_gw,2.6993
20,solar_drop_gw,1.8037
21,gas_usd_mmbtu,1.3373
22,trend_years,387.1922
