date,fuel_region_id,pricing_hub,interpretation,fuel_price_usd_per_mmbtu,distinct_prices_within_day,raw_hour_rows,source_archives
2023-05-01,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.6,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-02,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.55,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-03,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,5.57,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-04,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.54,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-05,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.31,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-06,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.3,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-07,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.3,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-08,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.3,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-09,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.55,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-10,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.63,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-11,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.33,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-12,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.32,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-13,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.35,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-14,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.35,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-15,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.35,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-16,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.3,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-17,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.17,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-18,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,4.12,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-19,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.69,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-20,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.61,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-21,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.61,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-22,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.61,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-23,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.88,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-24,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.93,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-25,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.8,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-26,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.54,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-27,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.15,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-28,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.15,1,24,CAISO_PRC_FUEL_2023_05.zip
2023-05-29,FRSCE3,SoCal Citygate,CAISO delivered fuel-region cost; includes transport/reimbursement components; non-GHG,3.15,1,24,CAISO_PRC_FUEL_2023_05.zip
